Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Ignore,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Video URL,Product URL
8054414,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2021/08/06/z-silk-home-100-vual-ipek-esarp-9010702-8054414-3.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
8054414,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2021/08/06/z-silk-home-100-vual-ipek-esarp-9010702-8054414-4.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
8054503, %100 Twill İpek Eşarp 11130-01 - Bebe Mavisi," 
            <p>يمكنك شراء هذا المنتج من موقع مودانيسا فلسطين اليوم، كل ما عليك عمله هو اضافة المنتج إلى السلة واكمال عملية الشراء.</p>
            <p>في حال احتجتي معرفة قياسك، اضغطي على زر جدول المقاسات أعلاه.</p>
            <p></p>
            <p>في حال احتجتي لمساعدة في عملية الشراء، يمكنك الدردشة معنا وسيقوم فريق الدعم الخاص بنا بمساعدتك حتى اتمام عملية الشراء والتأكد من رضاكِ التام.</p>
            <p></p>
            <p><br></p>
            <p>شروط البيع:</p>
            <p></p>
            <p>- الدفع يكون عند الاستلام.</p>
            <p></p>
            <p>- السعر شامل ضريبة القيمة المضافة والجمارك وسوف تتحمل مودانيسا فلسطين أي تكاليف أخرى تطرأ على طلبك.</p>
            <p></p>
            <p>- الحد الأدنى للطلب هو ١٠٠ شيكل.</p>
            <p></p>
            <p>- التوصيل مجاني عند شرائك بمبلغ ٢٥٠ شيكل فأكثر.</p>
            <p></p>
            <p>- كافة منتجاتنا تخضع لسياسة تبديل وإرجاع مميزة وهي ١٤ يوم من تاريخ استلام المنتج.</p>
            <p></p>
            <p>- مدة التوصيل كما هي موضحة تكون في العادة ما بين ١٢-٢٠ يوم وقد يصلك طلبك قبل ذلك أو بعد ذلك مع تواصلنا معك في حال حصول تأخير.</p>
            <p></p>
        ",Silk Home,,Pure Silk Scarf,TRUE,,,,,,,8054503,0,shopify,10,deny,manual,132.91,135,189.0,TRUE,FALSE,,https://fns.modanisa.com/r/pro2/2021/08/06/z-silk-home-100-twill-ipek-esarp-1113001-bebe-mavisi-silk-home-8054503-1.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,54.0,active,,https://www.modanisa.com/silk-home-100-twill-ipek-esarp-1113001--bebe-mavisi--silk-home.html
8054503,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2021/08/06/z-silk-home-100-twill-ipek-esarp-1113001-bebe-mavisi-silk-home-8054503-2.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
8054503,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2021/08/06/z-silk-home-100-twill-ipek-esarp-1113001-bebe-mavisi-silk-home-8054503-3.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
8054503,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2021/08/06/z-silk-home-100-twill-ipek-esarp-1113001-bebe-mavisi-silk-home-8054503-4.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
7976239,%100 Twill İpek 11189-12 - Fuşya," 
            <p>يمكنك شراء هذا المنتج من موقع مودانيسا فلسطين اليوم، كل ما عليك عمله هو اضافة المنتج إلى السلة واكمال عملية الشراء.</p>
            <p>في حال احتجتي معرفة قياسك، اضغطي على زر جدول المقاسات أعلاه.</p>
            <p></p>
            <p>في حال احتجتي لمساعدة في عملية الشراء، يمكنك الدردشة معنا وسيقوم فريق الدعم الخاص بنا بمساعدتك حتى اتمام عملية الشراء والتأكد من رضاكِ التام.</p>
            <p></p>
            <p><br></p>
            <p>شروط البيع:</p>
            <p></p>
            <p>- الدفع يكون عند الاستلام.</p>
            <p></p>
            <p>- السعر شامل ضريبة القيمة المضافة والجمارك وسوف تتحمل مودانيسا فلسطين أي تكاليف أخرى تطرأ على طلبك.</p>
            <p></p>
            <p>- الحد الأدنى للطلب هو ١٠٠ شيكل.</p>
            <p></p>
            <p>- التوصيل مجاني عند شرائك بمبلغ ٢٥٠ شيكل فأكثر.</p>
            <p></p>
            <p>- كافة منتجاتنا تخضع لسياسة تبديل وإرجاع مميزة وهي ١٤ يوم من تاريخ استلام المنتج.</p>
            <p></p>
            <p>- مدة التوصيل كما هي موضحة تكون في العادة ما بين ١٢-٢٠ يوم وقد يصلك طلبك قبل ذلك أو بعد ذلك مع تواصلنا معك في حال حصول تأخير.</p>
            <p></p>
        ",Silk Home,,Pure Silk Scarf,TRUE,,,,,,,7976239,0,shopify,10,deny,manual,132.91,135,189.0,TRUE,FALSE,,https://fns.modanisa.com/r/pro2/2021/04/22/z-100-twill-ipek-1118912-fusya-silk-home-7976239-1.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,54.0,active,,https://www.modanisa.com/100-twill-ipek-1118912--fusya--silk-home.html
7976239,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2021/04/22/z-100-twill-ipek-1118912-fusya-silk-home-7976239-2.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
7976239,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2021/04/22/z-100-twill-ipek-1118912-fusya-silk-home-7976239-3.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
7976239,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2021/04/22/z-100-twill-ipek-1118912-fusya-silk-home-7976239-4.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
