Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Ignore,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Video URL,Product URL
476569,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2016/06/16/z-xl-capraz-bagcikli-bone--murdum--ecardin-476569-4.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
476569,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2016/06/16/z-xl-capraz-bagcikli-bone--murdum--ecardin-476569-5.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
476569,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2016/06/16/z-xl-capraz-bagcikli-bone--murdum--ecardin-476569-6.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,
498318,Clima Fit Bone- Camel," 
            <p>يمكنك شراء هذا المنتج من موقع مودانيسا فلسطين اليوم، كل ما عليك عمله هو اضافة المنتج إلى السلة واكمال عملية الشراء.</p>
            <p>في حال احتجتي معرفة قياسك، اضغطي على زر جدول المقاسات أعلاه.</p>
            <p></p>
            <p>في حال احتجتي لمساعدة في عملية الشراء، يمكنك الدردشة معنا وسيقوم فريق الدعم الخاص بنا بمساعدتك حتى اتمام عملية الشراء والتأكد من رضاكِ التام.</p>
            <p></p>
            <p><br></p>
            <p>شروط البيع:</p>
            <p></p>
            <p>- الدفع يكون عند الاستلام.</p>
            <p></p>
            <p>- السعر شامل ضريبة القيمة المضافة والجمارك وسوف تتحمل مودانيسا فلسطين أي تكاليف أخرى تطرأ على طلبك.</p>
            <p></p>
            <p>- الحد الأدنى للطلب هو ١٠٠ شيكل.</p>
            <p></p>
            <p>- التوصيل مجاني عند شرائك بمبلغ ٢٥٠ شيكل فأكثر.</p>
            <p></p>
            <p>- كافة منتجاتنا تخضع لسياسة تبديل وإرجاع مميزة وهي ١٤ يوم من تاريخ استلام المنتج.</p>
            <p></p>
            <p>- مدة التوصيل كما هي موضحة تكون في العادة ما بين ١٢-٢٠ يوم وقد يصلك طلبك قبل ذلك أو بعد ذلك مع تواصلنا معك في حال حصول تأخير.</p>
            <p></p>
        ",Ecardin,,Lace Up Bonet,TRUE,,,,,,,498318,0,shopify,10,deny,manual,18.74,20,28.0,TRUE,FALSE,,https://fns.modanisa.com/r/pro2/2015/06/23/z-clima-fit-bone-camel--ecardin-498318-2.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,8.0,active,,https://www.modanisa.com/clima-fit-bone-camel--ecardin498318.html
498318,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2015/06/23/z-clima-fit-bone-camel--ecardin-498318-3.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
498318,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2015/06/23/z-clima-fit-bone-camel--ecardin-498318-4.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
498318,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2015/06/23/z-clima-fit-bone-camel--ecardin-498318-5.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
1109421,Desenli Bandana Bone - Bordo - 131887603167574," 
            <p>يمكنك شراء هذا المنتج من موقع مودانيسا فلسطين اليوم، كل ما عليك عمله هو اضافة المنتج إلى السلة واكمال عملية الشراء.</p>
            <p>في حال احتجتي معرفة قياسك، اضغطي على زر جدول المقاسات أعلاه.</p>
            <p></p>
            <p>في حال احتجتي لمساعدة في عملية الشراء، يمكنك الدردشة معنا وسيقوم فريق الدعم الخاص بنا بمساعدتك حتى اتمام عملية الشراء والتأكد من رضاكِ التام.</p>
            <p></p>
            <p><br></p>
            <p>شروط البيع:</p>
            <p></p>
            <p>- الدفع يكون عند الاستلام.</p>
            <p></p>
            <p>- السعر شامل ضريبة القيمة المضافة والجمارك وسوف تتحمل مودانيسا فلسطين أي تكاليف أخرى تطرأ على طلبك.</p>
            <p></p>
            <p>- الحد الأدنى للطلب هو ١٠٠ شيكل.</p>
            <p></p>
            <p>- التوصيل مجاني عند شرائك بمبلغ ٢٥٠ شيكل فأكثر.</p>
            <p></p>
            <p>- كافة منتجاتنا تخضع لسياسة تبديل وإرجاع مميزة وهي ١٤ يوم من تاريخ استلام المنتج.</p>
            <p></p>
            <p>- مدة التوصيل كما هي موضحة تكون في العادة ما بين ١٢-٢٠ يوم وقد يصلك طلبك قبل ذلك أو بعد ذلك مع تواصلنا معك في حال حصول تأخير.</p>
            <p></p>
        ",DIFFERENZA,,Lace Up Bonet,TRUE,,,,,,,1109421,0,shopify,10,deny,manual,9.74,10,14.0,TRUE,FALSE,,https://fns.modanisa.com/r/pro2/2018/11/29/z-desenli-bandana-bone--bordo--differenza-1109421-2.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,4.0,active,,https://www.modanisa.com/desenli-bandana-bone--bordo--131887603167574.html
1109421,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2018/11/29/z-desenli-bandana-bone--bordo--differenza-1109421-3.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
1109421,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2018/11/29/z-desenli-bandana-bone--bordo--differenza-1109421-4.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
